School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Longitude,Latitude
Texas A&M University,Southern,"$49,700","$96,100","$51,100","$71,300","$131,000","$171,000",-98.52417,29.304762
Tulane University,Southern,"$49,100","$95,800","$46,500","$64,400","$134,000","$185,000",-90.120409,29.939696
Virginia Polytechnic Institute and State University (Virginia Tech),Southern,"$53,500","$95,400","$50,600","$71,400","$124,000","$163,000",-80.423675,37.229012
"University of Maryland, College Park",Southern,"$52,000","$95,000","$50,400","$68,300","$126,000","$166,000",-76.944721,38.988178
University of Richmond,Southern,"$48,600","$94,600","$44,500","$59,400","$151,000","$211,000",-77.538702,37.577625
University of Texas (UT) - Austin,Southern,"$49,700","$93,900","$50,100","$67,400","$129,000","$188,000",-97.739291,30.28609
Emory University,Southern,"$52,000","$91,600","$52,500","$63,300","$128,000","$192,000",-84.325512,33.790183
"American University, Washington D.C.",Southern,"$45,300","$90,800","$45,200","$62,400","$134,000","$169,000",-77.090106,38.937802
University of Tulsa,Southern,"$42,400","$88,700","$42,300","$60,300","$120,000","$197,000",-95.945175,36.151887
Baylor University,Southern,"$48,300","$88,600","$46,300","$60,700","$130,000","$200,000",-97.119359,31.545956
University of Florida (UF),Southern,"$47,100","$87,900","$45,400","$62,900","$120,000","$172,000",-82.347911,29.64629
Louisiana State University (LSU),Southern,"$46,900","$87,800","$43,700","$61,300","$120,000","$165,000",-91.178921,30.414986
George Mason University,Southern,"$47,800","$86,900","$51,300","$67,200","$114,000","$150,000",-77.30794,38.83088
Clemson University,Southern,"$48,400","$86,000","$50,500","$61,800","$111,000","$150,000",-82.835114,34.679381
University of Georgia (UGA),Southern,"$44,100","$86,000","$43,100","$57,800","$118,000","$164,000",-83.374039,33.956262
Auburn University,Southern,"$45,400","$84,700","$45,400","$62,700","$109,000","$145,000",-85.488258,32.599378
University of Delaware,Southern,"$45,900","$84,500","$44,500","$64,000","$119,000","$165,000",-75.752822,39.679577
Randolph-Macon College,Southern,"$42,600","$83,600",N/A,"$54,100","$123,000",N/A,-77.478416,37.76043
North Carolina State University (NCSU),Southern,"$47,200","$83,300","$49,200","$64,800","$112,000","$153,000",-78.674517,35.785111
University of Oklahoma,Southern,"$44,700","$82,900","$41,200","$60,300","$114,000","$167,000",-97.445692,35.208152
University of Arkansas,Southern,"$44,100","$82,800","$43,200","$60,700","$113,000","$160,000",-94.176981,36.070009
University of Alabama at Huntsville (UAH),Southern,"$43,100","$82,700","$46,100","$67,800","$106,000","$132,000",-86.640449,34.724557
Howard University,Southern,"$46,900","$81,800","$43,300","$60,000","$109,000","$138,000",-77.019478,38.920739
University of North Carolina at Chapel Hill (UNCH),Southern,"$42,900","$81,500","$43,400","$57,500","$117,000","$155,000",-79.050969,35.911769
"University of Alabama, Tuscaloosa",Southern,"$41,300","$81,400","$40,100","$56,500","$117,000","$161,000",-87.545766,33.2144
University of Texas at Arlington (UTA),Southern,"$45,400","$80,800","$46,400","$61,200","$106,000","$138,000",-97.115087,32.728437
Oklahoma State University,Southern,"$42,800","$80,700","$40,100","$56,500","$114,000","$151,000",-97.583291,36.123085
Tennessee Technological University,Southern,"$46,200","$80,000","$42,100","$62,600","$99,500","$121,000",-85.503957,36.174659
University of Houston (UH),Southern,"$46,000","$79,900","$42,000","$56,200","$106,000","$141,000",-95.343537,29.720393
University of Mississippi,Southern,"$41,400","$79,700","$40,400","$53,500","$108,000","$186,000",-89.53743,34.36553
Lamar University,Southern,"$46,500","$79,400","$38,700","$51,600","$114,000","$158,000",-94.07224,38.06889
Mississippi State University (MSU),Southern,"$44,500","$79,300","$43,300","$58,800","$108,000","$151,000",-88.79014,33.45485
University of Kentucky (UK),Southern,"$42,800","$78,300","$43,000","$57,300","$107,000","$149,000",-84.50475,38.03891
Texas Christian University (TCU),Southern,"$45,100","$78,100","$42,600","$56,600","$122,000","$183,000",-97.36154,32.70957
West Virginia University (WVU),Southern,"$43,100","$78,100","$39,700","$55,700","$106,000","$141,000",-79.95439,39.63437
University of Maryland Baltimore County (UMBC),Southern,"$47,000","$77,800","$46,900","$59,100","$105,000","$130,000",-76.71161,39.25669
University of Louisiana (UL) at Lafayette,Southern,"$41,100","$76,300","$42,000","$54,500","$107,000","$163,000",-92.01941,30.21528
Florida International University (FIU),Southern,"$43,200","$75,500","$40,500","$55,800","$98,200","$136,000",-80.37759,25.75711
University of Tennessee,Southern,"$43,800","$74,600","$41,900","$53,200","$106,000","$153,000",-85.29981,35.04825
University of Arkansas - Monticello (UAM),Southern,"$39,200","$74,500",N/A,"$46,100","$110,000",N/A,-91.81115,33.59091
University of North Carolina at Charlotte (UNCC),Southern,"$43,100","$74,000","$38,200","$53,200","$99,500","$133,000",-80.73092,35.30602
Georgia State University,Southern,"$41,800","$74,000","$43,000","$55,300","$99,900","$145,000",-84.38667,33.75270
LeTourneau University,Southern,"$49,500","$73,800","$41,200","$52,700","$95,200","$126,000",-94.72726,32.46766
Florida State University (FSU),Southern,"$42,100","$73,000","$39,600","$52,800","$107,000","$156,000",-84.29192,30.44076
University of Texas at El Paso (UTEP),Southern,"$43,400","$72,100","$37,700","$50,400","$99,500","$133,000",-106.5036,31.77170
University of Central Florida (UCF),Southern,"$42,600","$71,700","$39,500","$51,500","$98,400","$125,000",-81.1988,28.60106
University of South Carolina,Southern,"$40,000","$71,700","$36,300","$49,900","$98,400","$131,000",-81.7679,33.57292
Florida Atlantic University (FAU),Southern,"$42,600","$71,100","$40,700","$53,000","$99,500","$137,000",-80.10298,26.37242
University of South Florida (USF),Southern,"$41,100","$71,100","$39,600","$51,500","$98,100","$131,000",-82.41323,28.06146
University of Texas at San Antonio (UTSA),Southern,"$42,500","$70,700","$39,100","$49,800","$92,700","$121,000",-98.62139,29.58242
University of Alabama at Birmingham (UAB),Southern,"$39,200","$70,100","$43,000","$53,400","$91,400","$125,000",-86.79935,33.5057
University of Memphis (U of M),Southern,"$41,400","$69,700","$36,100","$49,100","$93,500","$127,000",-89.93807,35.11888
Appalachian State University,Southern,"$40,400","$69,100","$37,200","$50,400","$90,800","$115,000",-81.68023,36.21484
Virginia Commonwealth University (VCU),Southern,"$42,000","$68,400","$37,400","$51,900","$100,000","$123,000",-77.4536,37.54763
East Carolina University (ECU),Southern,"$40,200","$67,500","$38,400","$52,000","$98,700","$151,000",-77.36829,35.60719
Western Carolina University,Southern,"$36,900","$66,600","$39,000","$49,500","$94,400","$133,000",-83.18626,35.30898
Jacksonville University,Southern,"$46,700","$66,200","$36,700","$47,200","$88,500","$121,000",-81.60706,30.35035
University of North Carolina at Wilmington (UNCW),Southern,"$37,500","$64,400","$32,100","$46,600","$97,100","$129,000",-77.87553,34.22522
Oklahoma City University,Southern,"$40,000","$64,300",N/A,"$45,400","$80,600",N/A,-97.54124,35.49527
Arkansas State University (ASU),Southern,"$38,700","$63,300","$33,600","$45,300","$83,900","$118,000",-90.67999,35.84239
Tarleton State University (TSU),Southern,"$40,800","$62,400","$32,100","$47,400","$80,400","$126,000",-98.21487,32.21499
Morehead State University,Southern,"$34,800","$60,600","$34,300","$46,500","$72,000","$91,300",-83.43402,38.18677
Mississippi College,Southern,"$35,400","$60,400",N/A,"$43,900","$80,400",N/A,-90.32982,32.33552
Dallas Baptist University,Southern,"$39,400","$60,200","$38,500","$50,300","$81,800","$98,100",-96.94701,32.71002
Austin Peay State University,Southern,"$37,700","$59,200","$32,200","$40,500","$73,900","$96,200",-87.35408,36.53332
Saint Leo University,Southern,"$40,900","$57,800","$34,400","$41,800","$80,600","$113,000",-82.2578,28.33678
Tusculum College,Southern,"$36,900","$55,500","$36,200","$43,000","$87,300","$124,000",-82.76172,36.17256
Virginia Wesleyan College (VWC),Southern,"$34,600","$54,900",N/A,"$37,100","$88,900",N/A,-76.18606,36.86842
"Lee University (Cleveland, TN)",Southern,"$34,500","$53,900",N/A,"$44,500","$76,800",N/A,-84.87002,35.16617
Florida Metropolitan University (FMU),Southern,"$36,600","$51,000","$32,800","$36,800","$70,400","$102,000",-74.03002,40.89616
Dartmouth College,Northeastern,"$58,000","$134,000","$63,100","$90,200","$234,000","$321,000",-72.28995,43.70412
Princeton University,Northeastern,"$66,500","$131,000","$68,900","$100,000","$190,000","$261,000",-74.65936,40.34873
Massachusetts Institute of Technology (MIT),Northeastern,"$72,200","$126,000","$76,800","$99,200","$168,000","$220,000",-71.09212,42.3601
Yale University,Northeastern,"$59,100","$126,000","$58,000","$80,600","$198,000","$326,000",-72.92669,41.31116
Harvard University,Northeastern,"$63,400","$124,000","$54,800","$86,200","$179,000","$288,000",-71.11831,42.37447
University of Pennsylvania,Northeastern,"$60,900","$120,000","$55,900","$79,200","$192,000","$282,000",-75.19391,39.95093
"Polytechnic University of New York, Brooklyn",Northeastern,"$62,400","$114,000","$66,800","$94,300","$143,000","$190,000",-81.25394,28.55158
Cooper Union,Northeastern,"$62,200","$114,000",N/A,"$80,200","$142,000",N/A,-73.99052,40.72938
Worcester Polytechnic Institute (WPI),Northeastern,"$61,000","$114,000","$80,000","$91,200","$137,000","$180,000",-71.80879,42.27507
Carnegie Mellon University (CMU),Northeastern,"$61,800","$111,000","$63,300","$80,100","$150,000","$209,000",-79.94291,40.44462
Rensselaer Polytechnic Institute (RPI),Northeastern,"$61,100","$110,000","$71,600","$85,500","$140,000","$182,000",-73.67877,42.72898
Cornell University,Northeastern,"$60,300","$110,000","$56,800","$79,800","$160,000","$210,000",-76.48308,42.4472
Bucknell University,Northeastern,"$54,100","$110,000","$62,800","$80,600","$156,000","$251,000",-76.88262,40.95432
Brown University,Northeastern,"$56,200","$109,000","$55,400","$74,400","$159,000","$228,000",-71.40385,41.82617
Colgate University,Northeastern,"$52,800","$108,000","$60,000","$76,700","$167,000","$265,000",-75.535,42.8188
Columbia University,Northeastern,"$59,400","$107,000","$50,300","$71,900","$161,000","$241,000",-73.96188,40.80829
Amherst College,Northeastern,"$54,500","$107,000",N/A,"$84,900","$162,000",N/A,-72.51849,42.37246
Lafayette College,Northeastern,"$53,900","$107,000","$70,600","$79,300","$144,000","$204,000",-75.20979,40.69956
Bowdoin College,Northeastern,"$48,100","$107,000",N/A,"$74,600","$146,000",N/A,-69.96394,43.90713
College of the Holy Cross,Northeastern,"$50,200","$106,000",N/A,"$65,600","$143,000",N/A,-71.80863,42.23894
Stevens Institute of Technology,Northeastern,"$60,600","$105,000","$68,700","$81,900","$138,000","$185,000",-74.02533,40.74478
Lehigh University,Northeastern,"$59,200","$105,000","$69,500","$85,000","$160,000","$229,000",-75.37889,40.60716
Swarthmore College,Northeastern,"$49,700","$104,000",N/A,"$67,200","$167,000",N/A,-75.35428,39.90516
Boston College,Northeastern,"$52,700","$103,000","$48,900","$70,000","$143,000","$195,000",-71.17149,42.33769
Williams College,Northeastern,"$51,700","$102,000",N/A,"$76,400","$143,000",N/A,-73.20313,42.71272
Villanova University,Northeastern,"$55,800","$101,000","$56,800","$76,200","$156,000","$226,000",-75.34546,40.03939
Fordham University,Northeastern,"$47,800","$99,900","$48,600","$65,900","$142,000","$198,000",-73.88271,40.85935
