School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Longitude,Latitude
University of Massachusetts (UMass) - Boston,Northeastern,"$45,600","$78,200","$36,300","$53,800","$109,000","$151,000",-71.03687,42.31288
State University of New York (SUNY) at Oswego,Northeastern,"$38,000","$77,800","$40,400","$53,000","$115,000","$169,000",-74.08873,41.73721
University of Massachusetts (UMass) - Dartmouth,Northeastern,"$43,200","$77,700","$43,300","$56,200","$107,000","$132,000",-71.00553,41.62886
State University of New York (SUNY) at Oneonta,Northeastern,"$37,500","$76,700","$40,000","$54,300","$97,700","$155,000",-74.08873,41.73721
Quinnipiac University,Northeastern,"$43,000","$76,500","$47,900","$57,400","$117,000","$155,000",-72.89412,41.41891
State University of New York (SUNY) at Plattsburgh,Northeastern,"$40,800","$76,200","$38,400","$54,100","$105,000","$136,000",-74.08873,41.73721
Sacred Heart University,Northeastern,"$46,000","$75,300","$39,700","$54,800","$105,000","$150,000",-73.24461,41.22155
Skidmore College,Northeastern,"$41,600","$74,600",N/A,"$42,800","$147,000",N/A,-73.78534,43.09703
Moravian College,Northeastern,"$42,500","$74,400",N/A,"$56,700","$94,900",N/A,-75.38098,40.63089
Penn State - Harrisburg,Northeastern,"$45,700","$74,000","$44,000","$53,100","$104,000","$150,000",-76.74230,40.20377
Suffolk University,Northeastern,"$42,100","$74,000","$48,700","$57,800","$95,100","$145,000",-71.06179,42.35894
Fitchburg State College,Northeastern,"$42,400","$72,600","$43,300","$56,100","$99,600","$151,000",-71.78935,42.58935
Roger Williams University,Northeastern,"$42,000","$72,300","$39,800","$48,500","$102,000","$138,000",-71.26037,41.65021
University Of Maine,Northeastern,"$41,200","$72,100","$41,700","$55,600","$99,300","$141,000",-68.66933,44.89926
State University of New York (SUNY) at Potsdam,Northeastern,"$38,000","$70,300","$35,100","$51,200","$100,000","$179,000",-74.08873,41.73721
Niagara University,Northeastern,"$36,900","$69,700","$44,000","$57,000","$92,000","$128,000",-79.03669,43.13728
State University of New York (SUNY) at Fredonia,Northeastern,"$37,800","$66,200","$32,800","$44,200","$93,300","$181,000",-74.08873,41.73721
University of Southern Maine,Northeastern,"$39,400","$63,600","$40,400","$47,900","$85,700","$117,000",-70.276,43.66264
Mercy College,Northeastern,"$43,700","$62,600","$35,600","$47,300","$99,000","$134,000",-73.87457,41.02144
